num,vi,vj,length
1,1,2,416.685
2,1,3,416.685
3,1,4,416.685
4,1,5,416.685
5,1,6,416.685
6,1,7,416.685
7,2,3,414.895
8,3,4,414.895
9,4,5,414.895
10,5,6,414.895
11,6,7,414.895
12,2,7,414.895
13,8,9,422.165
14,9,10,422.165
15,10,11,422.165
16,11,12,422.165
17,12,13,422.165
18,13,14,422.165
19,14,15,422.165
20,15,16,422.165
21,16,17,422.165
22,17,18,422.165
23,18,19,422.165
24,8,19,422.165
25,20,21,412.677
26,21,22,412.677
27,22,23,412.677
28,23,24,412.677
29,24,25,412.677
30,25,26,412.677
31,26,27,412.677
32,27,28,412.677
33,28,29,412.677
34,29,30,412.677
35,30,31,412.677
36,31,32,412.677
37,32,33,412.677
38,33,34,412.677
39,34,35,412.677
40,35,36,412.677
41,36,37,412.677
42,20,37,412.677
43,38,39,396.851
44,39,40,396.851
45,40,41,396.851
46,41,42,396.851
47,42,43,396.851
48,43,44,396.851
49,44,45,396.851
50,45,46,396.851
51,46,47,396.851
52,47,48,396.851
53,48,49,396.851
54,49,50,396.851
55,50,51,396.851
56,51,52,396.851
57,52,53,396.851
58,53,54,396.851
59,54,55,396.851
60,55,56,396.851
61,56,57,396.851
62,57,58,396.851
63,58,59,396.851
64,59,60,396.851
65,60,61,396.851
66,38,61,396.851
67,2,8,416.685
68,2,9,514.094
69,3,9,514.094
70,3,10,416.685
71,3,11,514.094
72,4,11,514.094
73,4,12,416.685
74,4,13,514.094
75,5,13,514.094
76,5,14,416.685
77,5,15,514.094
78,6,15,514.094
79,6,16,416.685
80,6,17,514.094
81,7,17,514.094
82,7,18,416.685
83,7,19,514.094
84,2,19,514.094
85,8,20,416.685
86,8,21,538.993
87,9,21,450.635
88,9,22,450.635
89,10,22,538.993
90,10,23,416.685
91,10,24,538.993
92,11,24,450.635
93,11,25,450.635
94,12,25,538.993
95,12,26,416.685
96,12,27,538.993
97,13,27,450.635
98,13,28,450.635
99,14,28,538.993
100,14,29,416.685
101,14,30,538.993
102,15,30,450.635
103,15,31,450.635
104,16,31,538.993
105,16,32,416.685
106,16,33,538.993
107,17,33,450.635
108,17,34,450.635
109,18,34,538.993
110,18,35,416.685
111,18,36,538.993
112,19,36,450.635
113,19,37,450.635
114,8,37,538.993
115,20,38,416.685
116,20,39,544.728
117,21,39,432.867
118,21,40,478.03
119,22,40,478.03
120,22,41,432.867
121,23,41,544.728
122,23,42,416.685
123,23,43,544.728
124,24,43,432.867
125,24,44,478.03
126,25,44,478.03
127,25,45,432.867
128,26,45,544.728
129,26,46,416.685
130,26,47,544.728
131,27,47,432.867
132,27,48,478.03
133,28,48,478.03
134,28,49,432.867
135,29,49,544.728
136,29,50,416.685
137,29,51,544.728
138,30,51,432.867
139,30,52,478.03
140,31,52,478.03
141,31,53,432.867
142,32,53,544.728
143,32,54,416.685
144,32,55,544.728
145,33,55,432.867
146,33,56,478.03
147,34,56,478.03
148,34,57,432.867
149,35,57,544.728
150,35,58,416.685
151,35,59,544.728
152,36,59,432.867
153,36,60,478.03
154,37,60,478.03
155,37,61,432.867
156,20,61,544.728
157,38,62,416.685
158,38,63,541.496
159,39,63,425.59
160,39,64,490.922
161,40,64,451.228
162,40,65,451.228
163,41,65,490.922
164,41,66,425.59
165,42,66,541.496
166,42,67,416.685
167,42,68,541.496
168,43,68,425.59
169,43,69,490.922
170,44,69,451.228
171,44,70,451.228
172,45,70,490.922
173,45,71,425.59
174,46,71,541.496
175,46,72,416.685
176,46,73,541.496
177,47,73,425.59
178,47,74,490.922
179,48,74,451.228
180,48,75,451.228
181,49,75,490.922
182,49,76,425.59
183,50,76,541.496
184,50,77,416.685
185,50,78,541.496
186,51,78,425.59
187,51,79,490.922
188,52,79,451.228
189,52,80,451.228
190,53,80,490.922
191,53,81,425.59
192,54,81,541.496
193,54,82,416.685
194,54,83,541.496
195,55,83,425.59
196,55,84,490.922
197,56,84,451.228
198,56,85,451.228
199,57,85,490.922
200,57,86,425.59
201,58,86,541.496
202,58,87,416.685
203,58,88,541.496
204,59,88,425.59
205,59,89,490.922
206,60,89,451.228
207,60,90,451.228
208,61,90,490.922
209,61,91,425.59
210,38,91,541.496
